Designator,MPN/Seeed SKU,Qty,Link
"R1,R2",1206W4J0101T5E,2,
"R11,R13,R18,R20,R22,R23,R24,R25,R3,R4",ERJ-3EKF1002V,10,
"R5,R6",ERJ-3EKF2000V,2,
"C1,C2,C3,C4,C5,C7,C8,C9",GCM188R71E105KA64D,8,
"C12,C13,C18,C19,C20,C21,C22,C23,C6",GRM188R71H104KA93D,9,
IC1,L78M05CDT-TR,1,
"IC10,IC11,IC6",LMV324IYPT,3,
"IC12,IC8,IC9",MCP4728A0T-E/UN,3,
Z1,"PESD2CAN,215",1,
Q1,QS6K1TR,1,
R12,RC1206JR-07120RL,1,
"R19,R21",RK73H1JTTD4701F,2,
IC4,SN65HVD1050DR,1,
IC2,STM32F042F6P6,1,
IC5,TCA9535PWR,1,
IC3,TLV70233DBVR,1,
"T2,T3",ULN2803ADWRG4,2,
